2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Art Proj Group Active: False
2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Materials Lib Group Active: False
2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectReferenceData.LogProperties | 1 | Content Info Group Active: False
2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Root Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2021_RC8
2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Packages Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2021_RC8\Packages
2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Output Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2021_RC8\.
2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Temp Output Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2021_RC8\_PackageInt
2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Package Definitions Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2021_RC8\PackageDefinitions
2022-05-21 10:42:09 | Info | ScruffyDuck.AirportDesignEditor.Helpers.FS20ProjectFolders.LogProperties | 1 | Package Sources Folder: D:\GitHub\WSSS_EXS_ZT_MSFS\Source Files\WSSS_2021_RC8\PackageSources
2022-05-21 10:43:11 | Info | ScruffyDuck.AirportDesignEditor.MainForm.OnMainFormFormClosing | 1 | **F20 ADE CLOSING**
